Kraken Experian Tier,Kraken Experian Tier Class,Kraken Experian Mosaic Household,Kraken Experian First Lead Sub Group,Kraken Experian First Lead Group,Kraken Experian Number of Children,Kraken Experian Consumer View Profitability Score,Kraken Experian Direct Mail Responder,Kraken Experian Dwelling Type,Kraken Experian Estimated Household Income,Kraken Experian Estimated Current Home Value,Kraken Experian Gender Code,Kraken Experian Individual Education,Kraken Experian Length of Residence,Kraken Experian Marital Status,Kraken Experian Occupation Group,Kraken Experian State Region,Kraken Experian Membership Tcv,Kraken Experian Membership Level,Kraken Experian Membership Length Days,Kraken Experian Product Tcv,Kraken Experian Count
1,B,Platinum Prosperity, -,Media Buy,1 = 1 Child,1,M - MULTI BUYER,S - Single Family,$250000+,"$799,837 ",Male,Grad Degree - Likely,18 Years,Married - Likely,Profess:Legal/Educ/Health-I,IL,"1,946.96",Elite,"1,903",0,1
1,B,Birkenstocks and Beemers, -,Media Buy,No Children,4,U - UNKNOWN,S - Single Family,$125000-$149999,"$387,258 ",Male,HS Diploma - Likely,13 Years,Married - Likely,Other-I,CO,"1,963.53",Elite,"2,454",0,1
9,H,Reaping Rewards, -,Media Buy,No Children,5,M - MULTI BUYER,A - Multi-Family & Condominium,$15000-$24999,,Female,HS Diploma - Extremely Likely,7 Years,Married - Extremely Likely,Retired-K,NM,130,Silver,304,0,1
1,F,Silver Sophisticates, -,Media Buy,No Children,1,M - MULTI BUYER,S - Single Family,$50000-$74999,"$633,400 ",Male,Grad Degree - Extremely Likely,28 Years,Married - Extremely Likely,Other-K,VA,855.81,Elite,"1,148",0,1
1,E,Aging of Aquarius, -,Media Buy,No Children,1,M - MULTI BUYER,S - Single Family,$125000-$149999,"$411,248 ",Female,Less than HS Diploma - Likely,16 Years,Married - Extremely Likely,Office and Admin Support-I,AL,"1,277.14",Elite,"1,257",351.95,1
1,B,Steadfast Conventionalists, -,Media Buy,3 = 3 Children,8,M - MULTI BUYER,A - Multi-Family & Condominium,$50000-$74999,"$183,783 ",Male,HS Diploma - Extremely Likely,26 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-I,IL,"1,629.71",Elite,"2,030",0,1
1,H,Rooted Flower Power, -,Media Buy,No Children,7,M - MULTI BUYER,S - Single Family,$50000-$74999,"$230,364 ",Male,HS Diploma - Extremely Likely,8 Years,Married - Extremely Likely,Profess:Legal/Educ/Health-K,OR,870,Elite,892,0,1
1,H,Homemade Happiness, -,Media Buy,No Children,6,U - UNKNOWN,S - Single Family,$25000-$34999,"$112,641 ",Male,Some College - Likely,1 Year,Married - Likely,Other-I,NY,946,Elite,802,0,1
1,F,Aging of Aquarius, -,Media Buy,No Children,3,M - MULTI BUYER,S - Single Family,$150000-$174999,"$249,910 ",Male,Grad Degree - Extremely Likely,15 Years,Married - Likely,Profess:Legal/Educ/Health-K,GA,"1,452",Elite,"1,349",0,1
1,H,Unspoiled Splendor, -,Media Buy,No Children,3,M - MULTI BUYER,S - Single Family,$25000-$34999,"$146,914 ",Male,Some College -Extremely Likely,26 Years,Unknown Status - Indiv not PDM,Retired-K,TN,692.91,Elite,980,0,1
